cmd_reference,cmd_type,cmd_result,result_data
rsuMode operate,snmpset,pass,NTCIP1218-v01::rsuMode.0 = INTEGER: operate(3) 
rsuModeStatus,snmpget,pass,NTCIP1218-v01::rsuModeStatus.0 = INTEGER: other(1) 
rsuGnssStatus,snmpget,pass,NTCIP1218-v01::rsuGnssStatus.0 = INTEGER: 7 
rsuGnssAugmentation,snmpget,pass,NTCIP1218-v01::rsuGnssAugmentation.0 = INTEGER: none(2) 
rsuGnssOutputString,snmpget,fail,"NTCIP1218-v01::rsuGnssOutputString.0 = STRING: $GPGGA,,,,,,,,,,M,,,, "
rsuGnssLat,snmpget,pass,NTCIP1218-v01::rsuGnssLat.0 = INTEGER: 405672765 tenth of a microdegree 
rsuGnssLon,snmpget,pass,NTCIP1218-v01::rsuGnssLon.0 = INTEGER: -1050343063 tenth of a microdegree 
rsuGnssElv,snmpget,pass,NTCIP1218-v01::rsuGnssElv.0 = INTEGER: 15020300 centimeter 
rsuLocationLat,snmpset,pass,NTCIP1218-v01::rsuLocationLat.0 = INTEGER: 405672318 tenth of a microdegree 
rsuLocationLon,snmpset,pass,NTCIP1218-v01::rsuLocationLon.0 = INTEGER: -1050342786 tenth of a microdegree 
rsuLocationElv,snmpset,pass,NTCIP1218-v01::rsuLocationElv.0 = INTEGER: 128016 centimeter 
rsuLocationDesc,snmpset,pass,NTCIP1218-v01::rsuLocationDesc.0 = STRING: Test Location 
rsuLocationLat,snmpget,pass,NTCIP1218-v01::rsuLocationLat.0 = INTEGER: 405672318 tenth of a microdegree 
rsuLocationLon,snmpget,pass,NTCIP1218-v01::rsuLocationLon.0 = INTEGER: -1050342786 tenth of a microdegree 
rsuLocationElv,snmpget,pass,NTCIP1218-v01::rsuLocationElv.0 = INTEGER: 128016 centimeter 
rsuLocationDesc,snmpget,pass,NTCIP1218-v01::rsuLocationDesc.0 = STRING: Test Location 
rsuGnssMaxDeviation,snmpset,pass,NTCIP1218-v01::rsuGnssMaxDeviation.0 = INTEGER: 10 meter 
rsuGnssMaxDeviation,snmpget,pass,NTCIP1218-v01::rsuGnssMaxDeviation.0 = INTEGER: 10 meter 
rsuLocationDeviation,snmpget,pass,NTCIP1218-v01::rsuLocationDeviation.0 = INTEGER: 20001 meter 
rsuGnssPositionError,snmpget,pass,NTCIP1218-v01::rsuGnssPositionError.0 = INTEGER: 14 tenth of a meter 
rsuStatus,snmpget,fail,NTCIP1218-v01::rsuStatus.0 = No Such Instance currently exists at this OID 
rsuFirmwareVersion,snmpget,pass,NTCIP1218-v01::rsuFirmwareVersion.0 = STRING: y20.52.1-b246595 
rsuMibVersion,snmpget,pass,NTCIP1218-v01::rsuMibVersion.0 = STRING: NTCIP1218-v01 rev:202009040000Z 
rsuID,snmpset,pass,NTCIP1218-v01::rsuID.0 = STRING: testname 
rsuID,snmpget,pass,NTCIP1218-v01::rsuID.0 = STRING: testname 
rsuHostIpAddr,snmpget,pass,NTCIP1218-v01::rsuHostIpAddr.0 = STRING: 10.1.10.209 
rsuServiceTable,snmpwalk,unknown,NTCIP1218-v01::rsuServiceTable = No Such Instance currently exists at this OID 
rsuReboot,snmpget,pass,NTCIP1218-v01::rsuReboot.0 = INTEGER: 0 
rsuTimeSincePowerOn,snmpget,pass,NTCIP1218-v01::rsuTimeSincePowerOn.0 = Counter32: 9256531 second 
rsuIntTemp,snmpget,pass,NTCIP1218-v01::rsuIntTemp.0 = INTEGER: 41 degree Celsius 
rsuClockSource,snmpget,pass,NTCIP1218-v01::rsuClockSource.0 = INTEGER: ntp(4) 
rsuClockSourceStatus,snmpget,pass,NTCIP1218-v01::rsuClockSourceStatus.0 = INTEGER: active(2) 
rsuClockSourceTimeout,snmpset,pass,NTCIP1218-v01::rsuClockSourceTimeout.0 = INTEGER: 0 second 
rsuClockSourceTimeout,snmpget,pass,NTCIP1218-v01::rsuClockSourceTimeout.0 = INTEGER: 0 second 
rsuClockSourceFailedQuery,snmpget,fail,NTCIP1218-v01::rsuClockSourceFailedQuery.0 = No Such Instance currently exists a
rsuClockDeviationTolerance,snmpset,pass,NTCIP1218-v01::rsuClockDeviationTolerance.0 = INTEGER: 0 millisecond 
rsuClockDeviationTolerance,snmpget,pass,NTCIP1218-v01::rsuClockDeviationTolerance.0 = INTEGER: 0 millisecond 
